"pathway","label","padj","enrichment score"
"GUTIERREZ_MULTIPLE_MYELOMA_UP","coculture","3.599e-47","-0.996323529411765"
"CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_UP","coculture","4.46152679056179e-22","-0.985239852398524"
"LINDSTEDT_DENDRITIC_CELL_MATURATION_A","coculture","7.80728226401383e-18","-0.981617647058823"
"ASTON_MAJOR_DEPRESSIVE_DISORDER_DN","coculture","4.55816584265188e-17","-1"
"CERIBELLI_GENES_INACTIVE_AND_BOUND_BY_NFY","coculture","4.55816584265188e-17","-1"
"CERIBELLI_PROMOTERS_INACTIVE_AND_BOUND_BY_NFY","coculture","4.55816584265188e-17","-1"
"PID_TCPTP_PATHWAY","coculture","6.32528101430471e-16","-0.977941176470588"
"REACTOME_NS1_MEDIATED_EFFECTS_ON_HOST_PATHWAYS","coculture","6.32528101430471e-16","-0.977941176470588"
"WATANABE_COLON_CANCER_MSI_VS_MSS_UP","coculture","7.85959372408043e-15","-0.992673992673993"
"XU_AKT1_TARGETS_48HR","coculture","7.85959372408043e-15","-0.992673992673993"
"GENTILE_UV_LOW_DOSE_UP","coculture","2.12844254481208e-13","-0.989010989010989"
"LU_TUMOR_VASCULATURE_UP","coculture","2.12844254481208e-13","-0.989010989010989"
"SESTO_RESPONSE_TO_UV_C4","coculture","2.12844254481208e-13","-0.989010989010989"
"BOYAULT_LIVER_CANCER_SUBCLASS_G5_DN","coculture","9.81313704832442e-11","-0.966911764705882"
"TRAYNOR_RETT_SYNDROM_UP","coculture","9.81313704832442e-11","-0.966911764705882"
"GILDEA_METASTASIS","coculture","4.00970703055291e-10","-0.985347985347985"
"HAHTOLA_SEZARY_SYNDROM_DN","coculture","4.00970703055291e-10","-0.985347985347985"
"VALK_AML_CLUSTER_6","coculture","4.00970703055291e-10","-0.985347985347985"
"WONG_ENDMETRIUM_CANCER_UP","coculture","4.00970703055291e-10","-0.985347985347985"
"BROWNE_HCMV_INFECTION_6HR_UP","coculture","5.55660299880826e-10","-0.944029850746269"
"REACTOME_RND1_GTPASE_CYCLE","coculture","3.90638804592469e-09","-0.981684981684982"
"WP_MALE_INFERTILITY","coculture","3.90638804592469e-09","-0.981684981684982"
"BIOCARTA_BIOPEPTIDES_PATHWAY","coculture","1.3942450711959e-08","-0.978021978021978"
"BIOCARTA_CHEMICAL_PATHWAY","coculture","1.3942450711959e-08","-0.978021978021978"
"BIOCARTA_IFNG_PATHWAY","coculture","1.3942450711959e-08","-0.978021978021978"
"BIOCARTA_IL22BP_PATHWAY","coculture","1.3942450711959e-08","-0.978021978021978"
"BIOCARTA_P38MAPK_PATHWAY","coculture","1.3942450711959e-08","-0.978021978021978"
"DASU_IL6_SIGNALING_UP","coculture","1.3942450711959e-08","-0.959558823529412"
"GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_PURPLE_DN","coculture","1.3942450711959e-08","-0.978021978021978"
"KEGG_MEDICUS_REFERENCE_EGF_JAK_STAT_SIGNALING_PATHWAY","coculture","1.3942450711959e-08","-0.978021978021978"
"KEGG_MEDICUS_REFERENCE_IL6_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY","coculture","1.3942450711959e-08","-0.978021978021978"
"KEGG_MEDICUS_REFERENCE_TYPE_II_INTERFERON_TO_JAK_STAT_SIGNALING_PATHWAY","coculture","1.3942450711959e-08","-0.978021978021978"
"KEGG_MEDICUS_VARIANT_ERBB2_OVEREXPRESSION_TO_EGF_JAK_STAT_SIGNALING_PATHWAY","coculture","1.3942450711959e-08","-0.978021978021978"
"KIM_GERMINAL_CENTER_T_HELPER_UP","coculture","1.3942450711959e-08","-0.978021978021978"
"LIANG_SILENCED_BY_METHYLATION_UP","coculture","1.3942450711959e-08","-0.978021978021978"
"MEINHOLD_OVARIAN_CANCER_LOW_GRADE_DN","coculture","1.3942450711959e-08","-0.978021978021978"
"NIKOLSKY_OVERCONNECTED_IN_BREAST_CANCER","coculture","1.3942450711959e-08","-0.978021978021978"
"NUNODA_RESPONSE_TO_DASATINIB_IMATINIB_DN","coculture","1.3942450711959e-08","-0.978021978021978"
"PID_EPO_PATHWAY","coculture","1.3942450711959e-08","-0.978021978021978"
"PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY","coculture","1.3942450711959e-08","-0.978021978021978"
"PID_IFNG_PATHWAY","coculture","1.3942450711959e-08","-0.959558823529412"
"PID_IL23_PATHWAY","coculture","1.3942450711959e-08","-0.978021978021978"
"PID_KIT_PATHWAY","coculture","1.3942450711959e-08","-0.978021978021978"
"PID_TNF_PATHWAY","coculture","1.3942450711959e-08","-0.978021978021978"
"REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION","coculture","1.3942450711959e-08","-0.978021978021978"
"REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING","coculture","1.3942450711959e-08","-0.978021978021978"
"REACTOME_INACTIVATION_OF_CSF3_G_CSF_SIGNALING","coculture","1.3942450711959e-08","-0.978021978021978"
"REACTOME_INTERLEUKIN_27_SIGNALING","coculture","1.3942450711959e-08","-0.978021978021978"
"REACTOME_INTERLEUKIN_35_SIGNALLING","coculture","1.3942450711959e-08","-0.978021978021978"
"REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING","coculture","1.3942450711959e-08","-0.978021978021978"
"REACTOME_INTERLEUKIN_6_SIGNALING","coculture","1.3942450711959e-08","-0.978021978021978"
"REACTOME_NOTCH3_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION","coculture","1.3942450711959e-08","-0.978021978021978"
"REACTOME_REGULATION_OF_IFNG_SIGNALING","coculture","1.3942450711959e-08","-0.978021978021978"
"REACTOME_SIGNALING_BY_CSF1_M_CSF_IN_MYELOID_CELLS","coculture","1.3942450711959e-08","-0.978021978021978"
